reviewer,article,content,sugestion,decision
Chia-Lung Yeh,Movement Pattern Recognition of Medaka for an Insecticide: A Comparison of Decision Tree and Neural Network.,content review,some sugestion,accepted
Daniel Cullina,Movement Pattern Recognition of Medaka for an Insecticide: A Comparison of Decision Tree and Neural Network.,content review,some sugestion,not accepted
Dok Nam Lee,A Framework for GNSS Spoofing Detection Through Combinations of Metrics.,content review,some sugestion,accepted
Andrew J. Hinchley,A Framework for GNSS Spoofing Detection Through Combinations of Metrics.,content review,some sugestion,accepted
Cynthia Jane Solomon,A Framework for GNSS Spoofing Detection Through Combinations of Metrics.,content review,some sugestion,not accepted
Daniel Troy,Belief function of Pythagorean fuzzy rough approximation space and its applications.,content review,some sugestion,accepted
Chaojiang Wu,Belief function of Pythagorean fuzzy rough approximation space and its applications.,content review,some sugestion,accepted
Erik Meineche Schmidt,Belief function of Pythagorean fuzzy rough approximation space and its applications.,content review,some sugestion,not accepted
Chia-Lung Yeh,"Corrigendum to: ""Hamiltonicity of the Normal Product of Hypergraphs"" in: J. Inform. Process. Cybernet. EIK26(1990) 7, 415-433.",content review,some sugestion,accepted
Huijun Wu,"Corrigendum to: ""Hamiltonicity of the Normal Product of Hypergraphs"" in: J. Inform. Process. Cybernet. EIK26(1990) 7, 415-433.",content review,some sugestion,accepted
Andrzej Omieljanowicz,"Corrigendum to: ""Hamiltonicity of the Normal Product of Hypergraphs"" in: J. Inform. Process. Cybernet. EIK26(1990) 7, 415-433.",content review,some sugestion,not accepted
Daniela Guaiana,AGGLO-Hi clustering algorithm for gene expression micro array data using proximity measures.,content review,some sugestion,accepted
Louise A. Mawn,AGGLO-Hi clustering algorithm for gene expression micro array data using proximity measures.,content review,some sugestion,accepted
E. A. Mary Anita,AGGLO-Hi clustering algorithm for gene expression micro array data using proximity measures.,content review,some sugestion,not accepted
David T. Wong,Service-Oriented Architecture on FPGA-Based MPSoC.,content review,some sugestion,accepted
Ahmed M. Mohamed,Service-Oriented Architecture on FPGA-Based MPSoC.,content review,some sugestion,accepted
Qiqi Wang,Service-Oriented Architecture on FPGA-Based MPSoC.,content review,some sugestion,not accepted
Anton Schiela,Design and Implementation of Smart Multi-Touch Interface Using Special Purpose CORDIC Processor.,content review,some sugestion,accepted
Naohisa Komatsu,Design and Implementation of Smart Multi-Touch Interface Using Special Purpose CORDIC Processor.,content review,some sugestion,accepted
David T. Wong,Design and Implementation of Smart Multi-Touch Interface Using Special Purpose CORDIC Processor.,content review,some sugestion,not accepted
Abbas Heydari,Low-Cost Passive Beamforming for RIS-Aided Wideband OFDM Systems.,content review,some sugestion,accepted
Huiqin Xie,Low-Cost Passive Beamforming for RIS-Aided Wideband OFDM Systems.,content review,some sugestion,accepted
Hai-Wei Sun,Low-Cost Passive Beamforming for RIS-Aided Wideband OFDM Systems.,content review,some sugestion,not accepted
Huijun Wu,Dissociation of Working Memory Processing Associated with Native and Second Languages: PET Investigation.,content review,some sugestion,accepted
Ahmed M. Mohamed,Dissociation of Working Memory Processing Associated with Native and Second Languages: PET Investigation.,content review,some sugestion,accepted
David Alan Grier,Dissociation of Working Memory Processing Associated with Native and Second Languages: PET Investigation.,content review,some sugestion,not accepted
Daniela Guaiana,Characteristic vector and weight distribution of a linear code.,content review,some sugestion,accepted
Ilan Abramovici,Characteristic vector and weight distribution of a linear code.,content review,some sugestion,accepted
Dan Suciu,Characteristic vector and weight distribution of a linear code.,content review,some sugestion,not accepted
Kanad Chakraborty,Application of hybrid fast marching method to determine the real-time path for the biped robot.,content review,some sugestion,accepted
Haowei Xu,Application of hybrid fast marching method to determine the real-time path for the biped robot.,content review,some sugestion,accepted
Babak Farzad,Application of hybrid fast marching method to determine the real-time path for the biped robot.,content review,some sugestion,not accepted
Keecheon Kim,"Statistical genetics & statistical genomics: Where biology, epistemology, statistics, and computation collide.",content review,some sugestion,accepted
Jiaqi Zhang 0001,"Statistical genetics & statistical genomics: Where biology, epistemology, statistics, and computation collide.",content review,some sugestion,accepted
Theodosios Pavlidis,"Statistical genetics & statistical genomics: Where biology, epistemology, statistics, and computation collide.",content review,some sugestion,not accepted
Lukasz Maksymiuk,Learning stacking regression for no-reference super-resolution image quality assessment.,content review,some sugestion,accepted
Chi-Wang Shu,Learning stacking regression for no-reference super-resolution image quality assessment.,content review,some sugestion,accepted
Guangyuan Pan,Learning stacking regression for no-reference super-resolution image quality assessment.,content review,some sugestion,not accepted
Anna Maria Paganoni,A Rigorously Bayesian Beam Model and an Adaptive Full Scan Model for Range Finders in Dynamic Environments.,content review,some sugestion,accepted
Hen-Wai Tsao,A Rigorously Bayesian Beam Model and an Adaptive Full Scan Model for Range Finders in Dynamic Environments.,content review,some sugestion,accepted
Anita Schöbel,A Rigorously Bayesian Beam Model and an Adaptive Full Scan Model for Range Finders in Dynamic Environments.,content review,some sugestion,not accepted
Anita Schöbel,Development of open platform humanoid robot DARwIn-OP.,content review,some sugestion,accepted
Kanad Chakraborty,Development of open platform humanoid robot DARwIn-OP.,content review,some sugestion,accepted
Chia-Lung Yeh,Development of open platform humanoid robot DARwIn-OP.,content review,some sugestion,not accepted
Amir Bozorgzadeh,Evidential weights of multiple preferences for competitiveness.,content review,some sugestion,accepted
Daniel Troy,Evidential weights of multiple preferences for competitiveness.,content review,some sugestion,accepted
Chih-Yuan Yao,Evidential weights of multiple preferences for competitiveness.,content review,some sugestion,not accepted
David Perry,Optimizing Spatial Mapping of Nested Loop for Coarse-Grained Reconfigurable Architectures.,content review,some sugestion,accepted
Duyan Bi,Optimizing Spatial Mapping of Nested Loop for Coarse-Grained Reconfigurable Architectures.,content review,some sugestion,accepted
Andrew J. Hinchley,Optimizing Spatial Mapping of Nested Loop for Coarse-Grained Reconfigurable Architectures.,content review,some sugestion,not accepted
N. C. Simpson,A Cable-Driven Exosuit for Upper Limb Flexion Based on Fibres Compliance.,content review,some sugestion,accepted
Luca Schenato 0001,A Cable-Driven Exosuit for Upper Limb Flexion Based on Fibres Compliance.,content review,some sugestion,accepted
Huiqin Xie,A Cable-Driven Exosuit for Upper Limb Flexion Based on Fibres Compliance.,content review,some sugestion,not accepted
Chi-Sang Jung,On Submesh Allocation for Mesh Multicomputers: A Best-Fit Allocation and a Virtual Submesh Allocation for Faulty Meshes.,content review,some sugestion,accepted
Di Li 0003,On Submesh Allocation for Mesh Multicomputers: A Best-Fit Allocation and a Virtual Submesh Allocation for Faulty Meshes.,content review,some sugestion,accepted
Andrew J. Hinchley,On Submesh Allocation for Mesh Multicomputers: A Best-Fit Allocation and a Virtual Submesh Allocation for Faulty Meshes.,content review,some sugestion,not accepted
Constant Solimando,Is There a Fourth Law for Non-Ergodic Systems That Do Work to Construct Their Expanding Phase Space?,content review,some sugestion,accepted
Hidehisa Yoshida,Is There a Fourth Law for Non-Ergodic Systems That Do Work to Construct Their Expanding Phase Space?,content review,some sugestion,accepted
M. I. Cohen,Is There a Fourth Law for Non-Ergodic Systems That Do Work to Construct Their Expanding Phase Space?,content review,some sugestion,not accepted
Adriano Meta,A confidence map and pixel-based weighted correlation for PRNU-based camera identification.,content review,some sugestion,accepted
Adel El-Faraskoury,A confidence map and pixel-based weighted correlation for PRNU-based camera identification.,content review,some sugestion,accepted
Dinesh Manocha,A confidence map and pixel-based weighted correlation for PRNU-based camera identification.,content review,some sugestion,not accepted
Arthur J. Davidson,Knowledge Transfer in Information Security Capacity Building for Community-Based Organizations.,content review,some sugestion,accepted
André Raspaud,Knowledge Transfer in Information Security Capacity Building for Community-Based Organizations.,content review,some sugestion,accepted
K. R. Ramakrishnan,Knowledge Transfer in Information Security Capacity Building for Community-Based Organizations.,content review,some sugestion,not accepted
Amir Shmuel,The Game of Hacking Academic Websites.,content review,some sugestion,accepted
