reviewer,article
Aida Pliuskeviciene,"Metaverse: Perspectives from graphics, interactions and visualization."
John T. Fredricksen,"Metaverse: Perspectives from graphics, interactions and visualization."
Karl-Heinz Best,"Metaverse: Perspectives from graphics, interactions and visualization."
Karl-Heinz Best,Resource management in network dynamics: An optimal approach to the admission control problem.
Di Li 0003,Resource management in network dynamics: An optimal approach to the admission control problem.
Fabio Nobile,Resource management in network dynamics: An optimal approach to the admission control problem.
Vera Tilson,Compressible flows: New existence results and justification of the Reynolds asymptotic in thin films.
Arvind Ramanathan,Compressible flows: New existence results and justification of the Reynolds asymptotic in thin films.
Di Li 0003,Compressible flows: New existence results and justification of the Reynolds asymptotic in thin films.
Arthur J. Davidson,A VLSI architecture for dynamic scene analysis.
Andrzej Omieljanowicz,A VLSI architecture for dynamic scene analysis.
Heike Siebert,A VLSI architecture for dynamic scene analysis.
Fabio Nobile,Optical Path Cross-Connect System Scale Evaluation Using Path Accommodation Design for Restricted Wavelength Multiplexing .
Hen-Wai Tsao,Optical Path Cross-Connect System Scale Evaluation Using Path Accommodation Design for Restricted Wavelength Multiplexing .
Anton Schiela,Optical Path Cross-Connect System Scale Evaluation Using Path Accommodation Design for Restricted Wavelength Multiplexing .
Hermano Frid,Correction to: Mapping audiovisual content providers and resources in Greece.
Cynthia Jane Solomon,Correction to: Mapping audiovisual content providers and resources in Greece.
Kanad Chakraborty,Correction to: Mapping audiovisual content providers and resources in Greece.
Kwok-Kai Soo,Predictive control for sector bounded nonlinear model and its application to solid oxide fuel cell systems.
Theodore Hailperin,Predictive control for sector bounded nonlinear model and its application to solid oxide fuel cell systems.
Hidehisa Yoshida,Predictive control for sector bounded nonlinear model and its application to solid oxide fuel cell systems.
Astrid Tannert,Effects of vocabulary training by computer in kindergarten.
John T. Fredricksen,Effects of vocabulary training by computer in kindergarten.
Qiqi Wang,Effects of vocabulary training by computer in kindergarten.
Le Deng,Solving a multiple-qualifications physician scheduling problem with multiple types of tasks by dynamic programming and variable neighborhood search.
Aida Pliuskeviciene,Solving a multiple-qualifications physician scheduling problem with multiple types of tasks by dynamic programming and variable neighborhood search.
Christopher I. Amos,Solving a multiple-qualifications physician scheduling problem with multiple types of tasks by dynamic programming and variable neighborhood search.
Kwok-Kai Soo,Effective Resistance Preserving Directed Graph Symmetrization.
Hai-Wei Sun,Effective Resistance Preserving Directed Graph Symmetrization.
Anita Schöbel,Effective Resistance Preserving Directed Graph Symmetrization.
Huijun Wu,A simple model of retina-LGN transmission.
Bita Alipasandi,A simple model of retina-LGN transmission.
David Perry,A simple model of retina-LGN transmission.
Dariusz Fabianowski,Business pluralism of electronic prescriptions: state of development in Europe and the USA.
Aku Riihelä,Business pluralism of electronic prescriptions: state of development in Europe and the USA.
Anna Maria Paganoni,Business pluralism of electronic prescriptions: state of development in Europe and the USA.
Norman F. Schneidewind,On Adaptive Influence Maximization Under General Feedback Models.
Lukasz Maksymiuk,On Adaptive Influence Maximization Under General Feedback Models.
Abbas Heydari,On Adaptive Influence Maximization Under General Feedback Models.
Hidehisa Yoshida,Integration of Sentinel-1 and Sentinel-2 Data for Land Cover Mapping Using W-Net.
Haowei Xu,Integration of Sentinel-1 and Sentinel-2 Data for Land Cover Mapping Using W-Net.
Gabriel M. Silberman,Integration of Sentinel-1 and Sentinel-2 Data for Land Cover Mapping Using W-Net.
Amir Shmuel,Beyond Document Similarity: Understanding Value-Based Search and Browsing Technologies.
Roy Edgar Hansen,Beyond Document Similarity: Understanding Value-Based Search and Browsing Technologies.
Oliver Marschollek,Beyond Document Similarity: Understanding Value-Based Search and Browsing Technologies.
Lianjun Xiao,A multi-stage spatio-temporal adaptive network for video super-resolution.
Qiqi Wang,A multi-stage spatio-temporal adaptive network for video super-resolution.
Anton Schiela,A multi-stage spatio-temporal adaptive network for video super-resolution.
Amir Shmuel,The strong connectivity of bubble-sort star graphs.
Ilan Abramovici,The strong connectivity of bubble-sort star graphs.
Anna Maria Paganoni,The strong connectivity of bubble-sort star graphs.
Björn Berghausen,Decoding clinical biomarker space of COVID-19: Exploring matrix factorization-based feature selection methods.
Louise A. Mawn,Decoding clinical biomarker space of COVID-19: Exploring matrix factorization-based feature selection methods.
Keecheon Kim,Decoding clinical biomarker space of COVID-19: Exploring matrix factorization-based feature selection methods.
Theodosios Pavlidis,Introduction.
Fabian Rothmaier,Introduction.
Le Deng,Introduction.
Huiqin Xie,Mixing network coding and cooperation for reliable wireless communications.
Laurent Chupin,Mixing network coding and cooperation for reliable wireless communications.
C. G. Parthipan,Mixing network coding and cooperation for reliable wireless communications.
Chi-Wang Shu,Stochastic Models with Multistability and Extinction Levels.
Chaojiang Wu,Stochastic Models with Multistability and Extinction Levels.
Gabriel M. Silberman,Stochastic Models with Multistability and Extinction Levels.
Renbiao Wu,Distributed Acoustic Sensing for Monitoring Linear Infrastructures: Current Status and Trends.
S. Twomey,Distributed Acoustic Sensing for Monitoring Linear Infrastructures: Current Status and Trends.
Daniela Guaiana,Distributed Acoustic Sensing for Monitoring Linear Infrastructures: Current Status and Trends.
Arun Mittal,Offline-Enhanced Reduced Basis Method Through Adaptive Construction of the Surrogate Training Set.
Bettina Klaus,Offline-Enhanced Reduced Basis Method Through Adaptive Construction of the Surrogate Training Set.
Haowei Xu,Offline-Enhanced Reduced Basis Method Through Adaptive Construction of the Surrogate Training Set.
Constant Solimando,Second-order statistics of system with 
Jiaqi Zhang 0001,Second-order statistics of system with 
S. Twomey,Second-order statistics of system with 
Alper Korkmaz,Using the Xeon Phi Platform to Run Speculatively-Parallelized Codes.
David Dagan Feng,Using the Xeon Phi Platform to Run Speculatively-Parallelized Codes.
Theodore Hailperin,Using the Xeon Phi Platform to Run Speculatively-Parallelized Codes.
C. G. Parthipan,"The failure of the ""localisationist project"" in mental medicine in nineteenth century France and the emergence of the neurological clinic."
Hen-Wai Tsao,"The failure of the ""localisationist project"" in mental medicine in nineteenth century France and the emergence of the neurological clinic."
Christopher I. Amos,"The failure of the ""localisationist project"" in mental medicine in nineteenth century France and the emergence of the neurological clinic."
John T. Fredricksen,Large scale content distribution protocols.
Abbas Heydari,Large scale content distribution protocols.
Hen-Wai Tsao,Large scale content distribution protocols.
Di Li 0003,DeepTrain: A Programmable Embedded Platform for Training Deep Neural Networks.
Diogo Poças,DeepTrain: A Programmable Embedded Platform for Training Deep Neural Networks.
Keecheon Kim,DeepTrain: A Programmable Embedded Platform for Training Deep Neural Networks.
Cynthia Jane Solomon,Next2You: Robust Copresence Detection Based on Channel State Information.
Chaojiang Wu,Next2You: Robust Copresence Detection Based on Channel State Information.
Aku Riihelä,Next2You: Robust Copresence Detection Based on Channel State Information.
Luca Schenato 0001,On numbers of vertices of maximum degree in the spanning trees of a graph.
Anita Schöbel,On numbers of vertices of maximum degree in the spanning trees of a graph.
Dok Nam Lee,On numbers of vertices of maximum degree in the spanning trees of a graph.
Heike Siebert,Special issue: Intelligent user interfaces.
Akira Suzuki,Special issue: Intelligent user interfaces.
Jan Camenisch,Special issue: Intelligent user interfaces.
Aida Pliuskeviciene,Movement Pattern Recognition of Medaka for an Insecticide: A Comparison of Decision Tree and Neural Network.
Chia-Lung Yeh,Movement Pattern Recognition of Medaka for an Insecticide: A Comparison of Decision Tree and Neural Network.
Daniel Cullina,Movement Pattern Recognition of Medaka for an Insecticide: A Comparison of Decision Tree and Neural Network.
Dok Nam Lee,A Framework for GNSS Spoofing Detection Through Combinations of Metrics.
Andrew J. Hinchley,A Framework for GNSS Spoofing Detection Through Combinations of Metrics.
Cynthia Jane Solomon,A Framework for GNSS Spoofing Detection Through Combinations of Metrics.
Daniel Troy,Belief function of Pythagorean fuzzy rough approximation space and its applications.
Chaojiang Wu,Belief function of Pythagorean fuzzy rough approximation space and its applications.
Erik Meineche Schmidt,Belief function of Pythagorean fuzzy rough approximation space and its applications.
Chia-Lung Yeh,"Corrigendum to: ""Hamiltonicity of the Normal Product of Hypergraphs"" in: J. Inform. Process. Cybernet. EIK26(1990) 7, 415-433."
Huijun Wu,"Corrigendum to: ""Hamiltonicity of the Normal Product of Hypergraphs"" in: J. Inform. Process. Cybernet. EIK26(1990) 7, 415-433."
Andrzej Omieljanowicz,"Corrigendum to: ""Hamiltonicity of the Normal Product of Hypergraphs"" in: J. Inform. Process. Cybernet. EIK26(1990) 7, 415-433."
Daniela Guaiana,AGGLO-Hi clustering algorithm for gene expression micro array data using proximity measures.
Louise A. Mawn,AGGLO-Hi clustering algorithm for gene expression micro array data using proximity measures.
E. A. Mary Anita,AGGLO-Hi clustering algorithm for gene expression micro array data using proximity measures.
David T. Wong,Service-Oriented Architecture on FPGA-Based MPSoC.
Ahmed M. Mohamed,Service-Oriented Architecture on FPGA-Based MPSoC.
Qiqi Wang,Service-Oriented Architecture on FPGA-Based MPSoC.
Anton Schiela,Design and Implementation of Smart Multi-Touch Interface Using Special Purpose CORDIC Processor.
Naohisa Komatsu,Design and Implementation of Smart Multi-Touch Interface Using Special Purpose CORDIC Processor.
David T. Wong,Design and Implementation of Smart Multi-Touch Interface Using Special Purpose CORDIC Processor.
Abbas Heydari,Low-Cost Passive Beamforming for RIS-Aided Wideband OFDM Systems.
Huiqin Xie,Low-Cost Passive Beamforming for RIS-Aided Wideband OFDM Systems.
Hai-Wei Sun,Low-Cost Passive Beamforming for RIS-Aided Wideband OFDM Systems.
Huijun Wu,Dissociation of Working Memory Processing Associated with Native and Second Languages: PET Investigation.
Ahmed M. Mohamed,Dissociation of Working Memory Processing Associated with Native and Second Languages: PET Investigation.
David Alan Grier,Dissociation of Working Memory Processing Associated with Native and Second Languages: PET Investigation.
Daniela Guaiana,Characteristic vector and weight distribution of a linear code.
Ilan Abramovici,Characteristic vector and weight distribution of a linear code.
Dan Suciu,Characteristic vector and weight distribution of a linear code.
Kanad Chakraborty,Application of hybrid fast marching method to determine the real-time path for the biped robot.
Haowei Xu,Application of hybrid fast marching method to determine the real-time path for the biped robot.
Babak Farzad,Application of hybrid fast marching method to determine the real-time path for the biped robot.
Keecheon Kim,"Statistical genetics & statistical genomics: Where biology, epistemology, statistics, and computation collide."
Jiaqi Zhang 0001,"Statistical genetics & statistical genomics: Where biology, epistemology, statistics, and computation collide."
